DataID,Layer Type,DataPreProcessing,QbitNo,Encoding,Training_Itter,OptimisationAlgo,Lossfn,TrainParams,TrainedKernelMatrix,AlignmentHist,Accuracy,Precision,F1,Recall
JdjPKrN5X8RnbK4kyS4wt3,QAOA,pca,5,QAOA,30,Nestrov Momentum,,"[[0.64033742 0.16044262 0.86318065 0.87094174 0.97253576 0.70104664
  0.61119874 0.11309007 0.07956019 0.74306548]
 [0.03029321 0.38186878 0.0235155  0.38993942 0.99453392 0.91172019
  0.44023258 0.97944745 0.88694648 0.8145965 ]]",<function qsvm_training.<locals>.<lambda> at 0x000002C6CE066F20>,[],0.54,0.5046728971962616,0.54,0.5806451612903226
DataID,Layer Type,DataPreProcessing,QbitNo,Encoding,Training_Itter,OptimisationAlgo,Lossfn,TrainParams,TrainedKernelMatrix,AlignmentHist,Accuracy,Precision,F1,Recall
BxEVta2uZ6PuJmctCDmRns,QAOA,pca,4,QAOA,30,Nestrov Momentum,,"[[0.10063595 0.44795503 0.38417547 0.45618921 0.88844179 0.27296673
  0.87166721 0.49479172]
 [0.69079693 0.96541017 0.12315829 0.98470059 0.59426072 0.94208295
  0.88622967 0.08668996]
 [0.80494402 0.14361065 0.69536692 0.14657847 0.92582902 0.01208859
  0.17159521 0.55894031]
 [0.49565086 0.48039804 0.09128457 0.64639118 0.62802898 0.45679036
  0.18988035 0.64820117]
 [0.78038452 0.70174891 0.87708736 0.14934556 0.95411506 0.6062808
  0.29128083 0.65510961]]",<function qsvm_training.<locals>.<lambda> at 0x000001E8FB7A6F20>,[],0.56,0.48214285714285715,0.5510204081632653,0.6428571428571429
DataID,Layer Type,DataPreProcessing,QbitNo,Encoding,Training_Itter,OptimisationAlgo,Lossfn,TrainParams,TrainedKernelMatrix,AlignmentHist,Accuracy,Precision,F1,Recall
JUNd8MHAExbp4x9q6GJVE6,QAOA,pca,4,QAOA,300,Nestrov Momentum,,"[[ 3.85031392  5.7406679   4.1934273   5.86728467  0.18913241  4.28008086
  -0.14344691  2.45142325]
 [ 3.67598537  2.17533501  5.24463956  1.94699537  3.44725668  0.90259812
   6.05817932  5.59452297]
 [ 5.42719442  0.67173119  0.36537005  3.43577664  2.12969341  0.30204167
   0.09152879  6.01826161]
 [-0.0224518   1.40859944  2.12979729  5.78970177  4.8820153   5.26566441
   0.17312295  5.1730229 ]
 [ 2.22740839  4.62063781  0.67748027  4.38460546  2.14293799  1.33005956
   2.66828636  0.5776972 ]]",<function qsvm_training.<locals>.<lambda> at 0x00000206E4636F20>,[],0.51,0.3392857142857143,0.4367816091954023,0.6129032258064516
DataID,Layer Type,DataPreProcessing,QbitNo,Encoding,Training_Itter,OptimisationAlgo,Lossfn,TrainParams,TrainedKernelMatrix,AlignmentHist,Accuracy,Precision,F1,Recall
DuuKcnyWouya5PK6yPLBdV,Shallow_CRZ,pca,4,Angle_X,300,Nestrov Momentum,,"[[[1.96820832 2.16753535 4.98890934 5.14251554]
  [2.63056193 3.06731979 3.04983636 6.06907142]
  [1.30047815 6.11540478 6.0931267  2.28168266]]

 [[2.11938888 2.49694365 4.93310091 6.16743094]
  [2.63450698 0.12884621 5.56365556 5.01179   ]
  [2.3158491  2.41937713 4.40523831 1.33722152]]]",<function qsvm_training.<locals>.<lambda> at 0x0000021AB9E76F20>,[],0.48,0.0,0.0,0.0
DataID,Layer Type,DataPreProcessing,QbitNo,Encoding,Training_Itter,OptimisationAlgo,Lossfn,TrainParams,TrainedKernelMatrix,AlignmentHist,Accuracy,Precision,F1,Recall
drWbbKw94cwitaYnPCJdqS,Shallow_CRZ,pca,4,Angle_Z,30,Nestrov Momentum,,"[[[3.95132725 1.51421183 0.77965343 2.37687574]
  [1.57243015 3.65625208 5.99816894 0.20624119]
  [3.31916661 1.9674706  5.06442452 0.15345745]]

 [[0.24058621 2.82542898 1.14234287 3.56187437]
  [4.07390559 3.03355149 3.013013   4.450803  ]
  [4.03678908 2.91536499 6.05716781 3.07082536]]]",<function qsvm_training.<locals>.<lambda> at 0x00000206BC020540>,[],0.0,0.0,0.0,0.0
